MAIN_ID,ra,dec
151,15:42:14.53,-52:54:40.08
279,15:41:53.35,-52:51:48.70
15,15:42:50.04,-52:53:35.86
165,15:42:11.12,-52:45:58.21
308,15:41:48.49,-52:48:45.65
182,15:42:07.27,-52:52:06.04
83,15:42:33.11,-52:52:42.94
284,15:41:52.25,-52:43:56.48
156,15:42:12.73,-52:52:06.82
273,15:41:54.97,-52:53:34.78
