Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
2,15:41:57.53 -52:48:29.21,1.861,15 41 57.4715949353,-52 48 27.414857628,-1.6501,1.1646,20.6058,0.0094
1,15:41:45.50 -52:46:38.11,0.474,15 41 45.5554346333,-52 46 37.748361673,0.5529,0.6095,18.7792,0.0041
1,15:41:58.11 -52:49:12.63,0.948,15 41 58.2173561972,-52 49 12.556811158,0.4619,0.0811,17.0097,0.0009
1,15:42:24.00 -52:45:34.62,1.05,15 42 24.1179631777,-52 45 34.835394847,0.3915,0.0718,16.6087,0.0007
1,15:41:47.91 -52:46:20.26,1.216,15 41 48.0452052523,-52 46 20.240295412,0.4161,0.0957,17.3754,0.001
2,15:41:47.91 -52:46:20.26,1.458,15 41 48.0535993944,-52 46 19.605688644,? ,? ,20.3444,0.0123
1,15:42:50.07 -52:49:02.76,1.258,15 42 50.2160836409,-52 49 02.608863161,0.4953,0.2162,17.8277,0.002
1,15:41:45.10 -52:54:38.29,0.931,15 41 45.2081248700,-52 54 38.396490239,0.427,0.0284,14.4311,0.0003
1,15:42:20.55 -52:51:52.37,1.196,15 42 20.6836776805,-52 51 52.339338887,0.4554,0.0746,15.5999,0.0006
1,15:42:12.37 -52:43:58.58,0.971,15 42 12.4635652306,-52 43 59.129583012,0.1645,0.1032,14.7217,0.0007
1,15:41:50.51 -52:51:37.07,1.262,15 41 50.6589089998,-52 51 37.237042060,0.3928,0.0401,14.791,0.0004
1,15:41:54.34 -52:49:14.71,0.83,15 41 54.4316915727,-52 49 15.009730044,0.5007,0.1366,17.7953,0.0012
1,15:42:03.37 -52:54:40.11,1.267,15 42 03.5183997412,-52 54 40.216130785,0.382,0.0571,16.3374,0.0006
2,15:42:03.37 -52:54:40.11,1.651,15 42 03.4771843913,-52 54 41.424465220,0.2884,0.8267,20.0554,0.0076
1,15:42:35.86 -52:45:46.96,1.139,15 42 35.9914308924,-52 45 46.765877732,0.3149,0.0571,16.0694,0.0007
1,15:42:00.19 -52:54:47.44,1.221,15 42 00.3308359258,-52 54 47.472814050,0.2392,0.0568,16.331,0.0006
1,15:41:59.92 -52:44:14.19,0.499,15 41 59.9780665698,-52 44 14.294174999,0.429,0.0774,16.466,0.0019
